id,web_name,team,value,minutes,goals_scored,assists,clean_sheets,bonus,form,threat,influence,creativity,xG,xA,selected_by_percent,points_per_game,total_points,FDR,next_gameweek_points
765,N.Gonzalez,13,60,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,4,0.0
364,Amad,14,56,1591,6,7,6,14,6.8,477.0,516.8,552.3,4.12,3.42,22.1,4.9,107,3,4.9
365,Antony,14,57,135,0,0,0,0,0.5,74.0,35.0,50.7,0.60,0.21,0.2,1.0,8,3,1.0
366,B.Fernandes,14,83,1925,5,7,7,15,4.0,415.0,576.4,756.3,7.84,4.42,8.8,4.5,104,2,4.5
367,Bayindir,14,43,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.1,0.0,0,1,0.0
368,Casemiro,14,47,833,1,0,3,3,0.0,150.0,249.2,236.7,1.05,1.54,0.4,2.3,32,1,2.3
369,Dalot,14,50,2036,0,1,6,7,2.2,177.0,342.8,274.1,1.38,1.66,5.6,2.7,63,4,2.7
370,Eriksen,14,52,632,0,1,3,0,1.2,24.0,112.6,264.9,0.12,1.56,0.2,1.8,24,4,1.8
371,Evans,14,44,288,0,0,1,3,0.0,6.0,51.0,4.1,0.08,0.02,0.1,2.3,14,3,2.3
372,Garnacho,14,59,1313,3,2,3,4,2.2,561.0,240.6,273.9,5.19,1.27,4.7,2.7,61,1,2.7
373,Hannibal,14,45,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,1,0.0
374,Heaton,14,39,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.2,0.0,0,1,0.0
375,Højlund,14,69,1106,2,1,2,4,1.0,171.0,101.4,165.4,2.27,0.79,1.0,2.3,44,1,2.3
376,Lindelof,14,43,59,0,0,0,0,0.0,4.0,18.0,15.5,0.00,0.04,0.1,0.8,4,2,0.8
377,Maguire,14,49,1084,0,0,2,2,2.2,76.0,219.0,66.1,0.61,0.20,0.6,1.4,24,2,1.4
378,Mainoo,14,52,1282,0,0,5,0,1.5,99.0,154.8,211.9,0.60,1.22,1.9,1.8,32,4,1.8
379,Malacia,14,44,99,0,0,0,0,0.2,0.0,5.2,13.9,0.00,0.02,0.0,0.7,2,4,0.7
380,Martinez,14,44,1751,2,1,6,5,4.5,158.0,426.6,153.9,1.33,1.21,3.3,3.4,68,1,3.4
381,McTominay,14,49,17,0,0,0,0,0.0,5.0,3.2,0.3,0.07,0.00,0.1,1.0,2,1,1.0
382,Mount,14,63,243,0,0,1,0,0.0,43.0,20.8,55.2,0.40,0.08,0.1,1.0,8,3,1.0
383,Onana,14,50,2160,0,0,7,5,2.8,0.0,502.6,13.0,0.00,0.19,6.2,3.5,83,3,3.5
384,Pellistri,14,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,2,0.0
387,Shaw,14,49,68,0,0,0,0,0.0,0.0,16.6,2.6,0.00,0.01,0.2,1.0,2,1,1.0
389,Zirkzee,14,65,869,3,2,3,6,2.0,246.0,199.0,157.8,3.09,0.83,1.5,2.2,52,3,2.2
572,Yoro,14,43,540,0,0,0,0,1.0,46.0,96.4,10.0,0.70,0.03,0.2,0.9,10,2,0.9
593,De Ligt,14,49,1545,1,0,3,3,1.2,203.0,313.0,59.2,1.79,0.15,3.2,2.2,48,3,2.2
594,Mazraoui,14,43,1832,0,1,5,4,2.8,86.0,373.6,183.4,0.46,1.20,9.2,2.5,61,3,2.5
613,Collyer,14,45,121,0,0,0,0,0.8,2.0,25.8,18.0,0.00,0.02,0.1,1.0,4,3,1.0
648,Wheatley,14,45,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,1.3,0.0,0,1,0.0
652,Ugarte,14,49,1073,0,0,2,0,0.8,41.0,170.0,114.9,0.36,0.46,0.1,1.2,21,4,1.2
658,Heaven,14,40,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.1,0.0,0,1,0.0
667,Fletcher,14,45,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,4,0.0
670,Amass,14,40,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,4,0.0
673,Fitzgerald,14,45,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,2,0.0
